,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
1123,TN,114,510,0,0,0,172.0,145,276.4,101,193.7,100,10.1,9,1,0
1124,MT,185,408,0,1,29,151.1,121,244.7,88,154.4,91,13.8,2,2,0
1125,OK,101,408,0,0,0,209.6,107,228.8,96,172.4,85,7.6,2,3,0
1126,ID,95,415,0,1,32,247.0,109,125.6,91,226.5,90,10.5,4,3,0
1127,NV,7,408,0,1,30,221.4,114,165.8,116,247.0,105,10.8,12,1,0
1128,KS,126,408,0,0,0,321.3,99,167.9,93,193.6,106,8.0,4,1,1
1129,WY,71,415,0,0,0,243.7,124,60.0,90,189.0,129,11.3,2,0,0
1130,MS,124,415,0,0,0,251.5,85,214.2,98,186.1,71,11.1,6,3,0
1131,WY,97,510,1,0,0,236.9,107,157.6,105,241.0,120,7.3,2,0,1
1132,TX,28,415,0,0,0,159.7,79,216.7,131,206.7,116,9.3,3,2,0
1133,WA,90,415,1,0,0,148.2,96,220.4,111,134.2,97,9.2,1,4,1
1134,HI,190,408,0,0,0,150.9,86,268.6,129,179.9,73,14.7,1,1,0
1135,IL,31,415,0,1,28,210.5,101,250.5,86,241.6,125,11.5,2,1,0
1136,MD,73,510,0,0,0,254.7,80,90.2,79,153.4,60,10.6,8,0,0
1137,MA,111,415,0,0,0,284.4,89,157.0,113,242.8,91,8.4,8,0,1
1138,SD,98,415,0,0,0,0.0,0,159.6,130,167.1,88,6.8,1,4,1
1139,PA,106,408,1,0,0,133.7,45,187.8,107,181.9,89,10.7,2,1,1
1140,NC,111,408,0,0,0,224.9,117,191.9,127,229.9,97,10.3,3,0,0
1141,VT,59,408,0,0,0,151.8,98,209.9,92,266.9,86,11.9,5,1,0
1142,KY,71,510,0,1,22,141.4,107,163.0,105,220.0,99,5.6,3,2,0
1143,WA,55,408,0,0,0,285.7,124,230.9,106,230.7,140,14.8,7,0,1
1144,LA,13,415,0,0,0,58.4,121,262.2,64,159.0,115,11.9,5,1,0
1145,WA,136,415,0,1,16,90.4,105,201.3,109,227.1,115,13.1,4,0,0
1146,ME,123,408,0,0,0,114.4,91,216.6,123,250.6,102,11.0,3,0,0
1147,WI,105,408,0,0,0,147.7,103,222.7,78,163.5,102,12.8,3,2,0
1148,TX,50,408,0,1,31,302.7,93,240.5,119,193.9,103,13.6,14,3,0
1149,AZ,97,408,0,0,0,169.7,84,165.9,86,191.9,83,12.8,6,3,0
1150,ND,51,510,0,0,0,227.2,89,194.4,106,243.4,126,14.9,2,0,0
1151,VT,73,415,0,0,0,217.8,91,220.6,97,277.3,89,10.3,6,1,1
1152,HI,35,415,0,0,0,124.2,102,123.9,115,135.7,100,13.1,8,2,0
1153,WY,64,415,0,0,0,206.2,76,232.4,76,251.6,96,13.6,2,1,0
1154,WV,63,510,0,0,0,132.9,122,67.0,62,160.4,121,9.9,2,3,0
1155,OK,117,415,0,1,31,104.9,115,237.6,125,263.4,104,7.7,6,3,0
1156,CT,115,415,0,0,0,245.0,97,250.7,75,270.2,124,13.7,8,1,1
1157,UT,162,408,0,0,0,184.5,118,224.0,95,180.5,82,11.6,3,1,0
1158,NY,89,415,0,0,0,89.5,66,179.3,104,225.1,116,12.3,1,3,0
1159,VA,94,415,1,0,0,235.6,131,194.8,107,170.6,93,8.6,4,1,0
1160,VT,129,408,0,0,0,186.0,127,262.3,96,98.9,63,11.5,6,4,0
1161,SD,86,415,0,0,0,223.9,75,155.7,109,150.2,143,7.3,9,1,0
1162,PA,96,510,0,0,0,179.5,125,162.3,139,264.5,133,6.6,2,1,0
1163,ND,190,415,0,0,0,169.4,102,253.5,113,197.1,93,8.9,5,1,0
1164,CT,80,408,0,0,0,118.1,90,144.3,77,225.1,86,8.2,6,1,0
1165,SC,108,415,0,0,0,112.0,105,193.7,110,208.9,93,4.1,4,4,1
1166,MI,97,408,0,1,32,168.4,129,225.9,97,191.8,95,8.5,7,0,0
1167,VT,84,415,0,1,42,214.3,112,188.2,107,333.5,117,11.3,10,0,0
1168,OH,65,415,0,0,0,245.7,139,241.9,113,285.3,117,4.2,5,4,1
1169,IL,58,415,1,1,43,142.8,96,272.3,100,193.4,105,8.9,4,1,0
1170,MO,36,415,0,0,0,202.4,115,230.7,115,202.0,127,10.2,2,3,0
1171,WI,54,415,0,0,0,116.8,119,123.1,123,217.5,101,12.0,2,1,0
1172,NJ,45,510,0,0,0,155.7,110,260.3,103,192.2,98,11.0,1,1,0
1173,VT,72,415,0,1,21,138.1,113,260.1,83,135.4,118,8.2,2,2,0
1174,CT,141,408,0,0,0,51.9,108,162.0,83,223.5,115,10.1,3,3,0
1175,SD,20,415,0,1,35,171.5,98,153.1,127,165.6,125,7.1,3,0,0
1176,OH,94,510,0,0,0,194.1,62,227.2,54,190.4,115,15.3,4,1,0
1177,NY,40,510,0,0,0,115.7,105,127.8,113,107.5,91,9.3,6,1,0
1178,OK,101,415,0,0,0,269.7,85,207.6,86,214.2,107,4.5,15,3,1
1179,NC,170,415,0,0,0,246.4,107,228.1,124,166.4,95,9.1,8,0,0
1180,HI,105,510,0,0,0,227.4,121,268.5,89,143.3,82,13.0,4,1,0
1181,UT,103,415,0,0,0,189.8,110,115.5,83,191.3,103,12.2,4,0,0
1182,MD,140,415,1,1,27,188.9,124,160.9,102,197.7,100,11.5,5,4,0
1183,VT,101,510,0,0,0,0.0,0,192.1,119,168.8,95,7.2,4,1,0
1184,TX,98,408,0,1,19,110.5,87,227.8,97,243.6,84,11.0,4,1,0
1185,AZ,104,408,0,0,0,167.6,116,219.2,112,215.9,94,11.7,2,4,0
1186,VA,115,415,0,0,0,132.0,90,197.5,75,175.8,114,0.0,0,3,0
1187,NE,70,415,0,0,0,213.4,86,204.7,77,256.6,101,5.7,4,1,0
1188,KY,126,510,0,0,0,175.4,120,98.3,71,201.9,93,10.6,1,0,0
1189,NV,87,510,0,1,39,82.6,113,224.4,63,163.6,88,9.5,1,3,0
1190,MT,125,510,0,0,0,143.2,80,88.1,94,233.2,135,8.8,7,4,1
1191,MO,86,415,0,0,0,125.5,139,269.8,93,235.8,110,8.9,8,1,0
1192,MS,73,415,0,1,31,82.3,105,256.1,91,229.6,98,11.8,2,6,1
1193,NM,232,408,0,0,0,165.6,104,195.9,115,118.3,77,11.8,3,1,0
1194,NH,133,408,0,0,0,162.1,91,212.1,94,260.4,78,12.2,5,1,0
1195,NC,103,510,0,0,0,166.6,84,192.4,91,167.9,115,7.7,6,1,0
1196,MT,131,415,0,1,24,135.9,60,233.2,78,210.6,121,9.4,4,1,0
1197,SD,95,408,0,1,20,165.7,78,215.6,94,243.3,91,9.8,6,0,0
1198,VA,182,415,0,0,0,176.1,90,174.9,106,234.7,134,9.7,4,1,0
1199,LA,99,510,0,0,0,142.3,89,204.5,95,203.1,114,9.1,1,0,0
1200,AK,141,408,0,0,0,83.2,74,190.6,104,150.5,79,10.7,7,1,0
1201,OH,29,415,1,1,37,235.0,101,183.3,79,139.8,106,5.7,7,2,0
1202,NM,65,415,0,0,0,105.7,95,141.8,100,180.5,105,6.6,12,2,0
1203,MI,81,415,1,0,0,149.4,68,171.9,98,214.5,97,17.9,3,3,1
1204,MN,37,415,0,1,20,264.7,81,216.5,110,210.7,102,10.4,7,0,0
1205,WY,107,510,0,1,31,160.3,45,221.5,70,261.6,109,5.6,1,1,0
1206,WY,127,415,1,1,28,95.9,117,159.5,131,152.8,132,10.4,3,1,0
1207,WA,78,408,0,0,0,140.7,77,195.2,114,252.9,107,11.7,5,0,0
1208,NM,55,510,0,0,0,119.7,148,231.8,96,222.3,113,4.6,2,2,0
1209,VA,86,415,0,1,30,99.9,84,263.5,125,254.7,90,9.8,7,2,0
1210,RI,176,415,0,0,0,250.9,108,171.4,100,148.6,85,9.6,6,2,0
1211,AL,96,415,1,0,0,200.6,117,289.5,120,98.3,95,11.2,5,2,0
1212,WV,11,510,0,1,38,209.8,130,196.6,84,233.0,79,7.0,7,1,0
1213,WV,48,415,0,1,34,198.0,70,273.7,121,217.9,71,7.6,4,1,0
1214,NJ,127,510,0,0,0,239.8,107,128.9,121,249.9,110,11.3,5,1,0
1215,MI,79,510,0,0,0,220.9,107,192.2,97,161.0,74,12.2,2,1,0
1216,MI,83,510,0,1,26,226.4,117,234.7,97,133.6,82,10.8,7,1,0
1217,ND,60,510,0,0,0,203.2,99,235.8,131,224.9,112,15.1,6,2,0
1218,VT,122,415,0,0,0,136.7,115,243.1,137,188.9,110,8.6,4,0,0
1219,WA,136,408,0,0,0,152.6,97,208.9,85,119.1,99,5.0,10,1,0
1220,NC,172,408,0,1,47,274.9,102,186.6,118,245.0,123,8.8,2,1,0
1221,WV,79,415,0,0,0,222.3,99,146.2,82,275.6,82,8.9,4,3,0
1222,ID,55,510,0,1,8,222.5,104,171.5,94,377.5,114,9.7,2,1,0
1223,LA,111,415,0,1,28,128.8,104,157.3,52,147.4,76,10.3,2,2,0
1224,GA,160,415,0,0,0,174.3,105,171.3,107,220.8,131,8.3,2,0,0
1225,FL,110,415,0,0,0,242.5,110,162.3,140,184.1,86,7.8,3,4,0
1226,CO,192,415,0,0,0,221.6,101,285.2,50,167.4,83,12.7,6,4,0
1227,NV,93,408,0,0,0,114.3,100,221.1,103,126.3,88,10.9,9,0,0
1228,VA,77,510,0,0,0,144.9,136,151.3,115,252.4,73,12.3,3,2,0
1229,UT,105,415,0,1,40,236.5,111,117.0,110,221.1,115,8.1,3,2,0
1230,UT,133,408,0,1,44,174.0,80,209.4,113,224.1,87,14.1,7,2,1
1231,MO,131,408,0,0,0,109.5,95,332.1,48,258.6,108,6.6,7,1,0
1232,HI,118,415,0,0,0,133.4,113,121.0,92,254.7,129,5.9,4,1,0
1233,MD,125,408,0,0,0,137.1,94,209.8,83,238.4,114,8.6,4,1,0
1234,VA,95,415,0,0,0,197.0,88,190.4,68,211.9,104,16.1,8,0,0
1235,MT,80,415,0,0,0,198.1,160,156.7,87,182.1,76,9.3,3,3,0
1236,SC,145,408,0,0,0,39.5,78,264.3,106,185.8,90,10.0,6,0,0
1237,CO,37,408,0,0,0,199.5,107,207.5,110,83.9,123,8.1,4,2,0
1238,ID,87,415,0,0,0,156.8,93,215.8,68,223.3,77,7.6,6,1,0
1239,UT,195,415,0,0,0,63.2,108,220.2,88,184.0,99,5.1,3,0,0
1240,RI,123,415,0,1,27,218.7,79,163.4,78,173.8,116,15.0,1,0,0
1241,FL,41,415,0,1,41,207.3,95,137.3,120,115.7,74,5.9,3,1,0
1242,MD,76,415,1,0,0,273.3,66,263.6,121,165.2,84,12.0,7,1,1
1243,IL,86,415,1,0,0,266.1,120,182.0,92,206.5,103,10.3,4,1,0
1244,PA,140,408,0,0,0,112.8,89,156.7,65,249.6,85,16.3,6,0,0
1245,AZ,70,415,0,0,0,104.7,112,82.2,104,169.4,110,15.8,7,3,0
1246,NH,121,510,0,1,35,193.8,62,197.6,97,218.8,95,5.9,4,0,0
1247,RI,112,415,0,0,0,168.6,102,298.0,117,194.7,110,9.8,5,1,0
1248,HI,118,415,0,0,0,253.2,122,201.0,78,195.3,108,9.7,7,2,0
1249,NJ,66,415,0,1,16,174.7,92,232.1,105,305.4,98,8.9,2,1,0
1250,MD,129,415,0,1,34,204.5,79,132.8,113,190.1,117,14.8,9,2,0
1251,OR,6,408,0,0,0,226.5,93,152.1,122,164.4,98,9.4,4,3,0
1252,NV,107,510,1,0,0,234.1,91,163.1,105,282.5,100,10.0,3,1,0
1253,AR,107,415,1,0,0,133.3,106,182.9,89,241.1,123,12.9,2,3,1
1254,MT,138,415,0,0,0,133.9,87,166.4,110,193.5,139,15.4,3,1,0
1255,CT,103,510,0,0,0,160.2,104,138.9,70,312.5,97,9.7,2,0,0
1256,UT,116,415,0,1,44,230.6,94,224.1,103,244.0,76,11.1,2,0,0
1257,NV,161,415,0,0,0,72.8,120,267.1,120,222.5,91,11.8,2,2,0
1258,TN,1,415,0,0,0,196.1,107,296.5,82,211.5,91,7.0,2,1,0
1259,DE,89,408,0,0,0,197.1,110,165.9,115,227.3,106,12.8,3,1,0
1260,NY,64,408,0,0,0,219.6,126,303.3,100,154.5,65,9.7,5,1,0
1261,IA,129,415,0,0,0,216.0,85,186.9,114,210.7,109,4.9,10,2,0
1262,VT,128,510,0,1,32,222.9,136,262.0,80,191.4,101,10.8,4,0,0
1263,LA,81,415,0,1,36,115.9,120,236.6,95,255.0,90,11.7,6,3,0
1264,MT,114,510,0,0,0,189.8,101,147.7,80,172.7,121,10.6,5,1,0
1265,WV,86,415,0,0,0,136.4,104,202.5,110,230.7,86,11.5,1,3,0
1266,ID,96,408,0,0,0,170.5,86,277.5,88,162.5,117,12.2,6,1,0
1267,AZ,72,510,0,0,0,272.4,88,107.9,125,185.5,81,12.7,2,0,0
1268,SC,64,510,0,1,40,210.0,116,232.7,89,168.8,94,5.9,4,8,0
1269,OH,65,510,0,0,0,153.9,117,220.1,122,280.5,147,8.5,3,2,0
1270,MD,136,415,0,0,0,252.4,74,167.9,81,248.3,110,10.7,3,2,0
1271,MN,116,408,0,0,0,197.9,84,168.1,113,239.8,145,12.0,6,1,0
1272,NE,93,408,0,0,0,152.4,74,274.6,88,252.2,120,6.6,5,3,0
1273,MN,142,510,0,1,40,237.4,105,175.9,93,210.3,110,9.2,3,3,0
1274,NY,92,408,0,0,0,265.6,82,180.7,75,211.1,113,8.6,2,1,0
1275,HI,70,415,0,0,0,197.3,91,305.8,81,171.0,105,6.7,6,1,0
1276,MO,22,408,0,1,14,199.1,100,221.8,103,65.7,91,4.2,1,1,0
1277,NV,37,415,0,0,0,233.7,114,207.9,109,212.7,101,12.0,2,2,0
1278,MA,51,415,0,0,0,183.1,99,160.1,107,311.8,121,7.0,3,1,0
1279,FL,130,415,0,0,0,207.1,70,200.1,115,194.2,100,12.4,2,1,0
1280,WA,104,415,0,0,0,139.7,78,202.6,119,203.6,102,11.3,5,2,0
1281,CT,134,408,0,0,0,177.2,91,228.7,105,194.3,113,8.9,3,2,0
1282,KY,108,415,0,1,35,169.8,136,173.7,101,214.6,105,9.5,7,2,0
1283,NM,103,415,0,0,0,173.5,83,244.3,65,221.6,66,9.7,2,3,0
1284,ND,62,510,0,0,0,159.9,100,172.2,99,263.2,109,5.6,4,1,0
1285,NV,162,415,0,0,0,115.1,89,196.8,111,212.4,98,11.4,3,2,0
1286,ID,42,415,0,0,0,92.2,108,211.2,120,129.1,73,13.1,6,1,0
1287,IA,36,510,0,0,0,117.1,94,235.4,117,221.3,108,9.0,2,0,0
1288,OH,143,415,0,0,0,223.3,99,167.1,128,203.0,84,4.5,4,0,1
1289,NJ,197,510,0,0,0,154.8,111,171.5,102,227.3,86,10.6,2,3,0
1290,IA,81,510,0,0,0,261.4,141,215.7,102,271.8,96,8.0,6,1,1
1291,DE,138,510,1,0,0,46.5,104,186.0,114,167.5,95,9.6,4,4,1
1292,CA,103,415,0,1,18,149.9,84,170.9,84,171.5,112,11.5,7,0,1
1293,WY,127,510,1,0,0,242.2,102,226.1,80,252.0,96,13.9,5,2,1
1294,ME,99,415,0,0,0,222.4,102,185.8,89,237.7,81,12.0,8,2,0
1295,AR,95,415,0,0,0,69.4,79,190.8,109,219.9,102,8.9,5,0,0
1296,WV,113,415,0,0,0,61.2,111,92.3,88,197.4,114,13.7,3,5,1
1297,PA,128,408,1,0,0,245.2,112,101.5,101,152.3,116,10.7,5,0,0
1298,DC,81,510,1,0,0,227.4,105,211.5,120,258.2,113,11.9,3,0,0
1299,AR,57,510,0,0,0,192.8,68,158.0,86,235.5,105,12.7,6,1,0
1300,MS,140,408,0,0,0,162.6,98,206.2,109,141.6,66,8.2,2,1,0
1301,MD,102,415,0,0,0,271.1,80,172.0,133,169.2,105,10.3,5,1,0
1302,CT,107,408,0,0,0,103.4,94,189.3,125,227.2,125,14.4,3,1,0
1303,SC,106,408,0,0,0,52.2,106,220.1,113,112.3,95,11.4,2,2,0
1304,MI,225,415,0,0,0,165.4,106,273.7,109,210.0,93,8.7,3,0,1
1305,SD,75,408,0,0,0,147.5,110,191.7,97,135.0,68,16.4,3,2,0
1306,CO,86,415,0,0,0,217.8,93,214.7,95,228.7,70,11.3,7,0,0
1307,ID,169,415,0,0,0,235.7,79,136.9,85,220.9,97,13.3,10,1,0
1308,AZ,122,510,0,1,22,204.5,92,139.6,121,205.0,103,8.6,5,2,0
1309,FL,106,408,0,0,0,178.4,143,247.0,123,259.9,105,9.6,2,0,0
1310,MN,52,415,0,1,32,130.1,68,247.2,77,289.4,87,13.5,5,2,0
1311,DE,79,415,0,1,34,103.7,100,236.3,78,256.6,102,14.8,4,2,0
1312,MI,135,415,0,0,0,239.9,91,177.1,104,217.2,118,5.9,3,2,0
1313,MS,70,408,0,0,0,148.4,110,267.1,90,151.5,101,8.9,4,0,0
1314,MA,80,408,0,0,0,148.6,106,210.8,65,203.7,86,10.0,2,2,0
1315,CA,37,415,0,0,0,191.1,69,129.2,113,207.5,117,12.9,1,0,0
1316,MN,161,415,0,1,39,218.5,76,112.7,94,205.1,121,7.3,4,1,0
1317,VT,137,510,0,0,0,97.5,95,195.8,82,288.8,78,0.0,0,1,0
1318,CT,123,415,0,0,0,128.7,126,117.6,94,198.4,132,10.8,5,0,0
1319,WV,80,415,0,1,38,236.6,69,197.5,68,209.5,102,9.5,10,2,0
1320,WV,94,415,0,0,0,85.9,113,226.7,91,279.6,110,15.6,16,0,0
1321,NE,105,415,0,1,27,141.2,96,167.7,94,274.4,101,11.4,2,1,0
1322,NC,73,415,0,1,31,194.4,104,176.0,84,230.1,110,11.5,3,0,0
1323,NE,112,415,0,0,0,167.6,100,154.5,90,281.4,107,17.3,3,2,0
1324,IL,179,408,0,0,0,234.5,134,164.2,94,191.4,72,6.1,4,1,0
1325,MA,57,510,0,0,0,154.2,78,196.7,85,253.5,97,10.1,9,1,0
1326,AZ,127,415,0,1,14,143.2,99,169.9,91,221.6,77,11.6,1,1,0
1327,SD,122,415,1,1,40,216.4,80,249.7,90,185.9,99,12.7,4,1,0
1328,MT,33,510,0,1,35,161.9,85,151.2,82,191.0,131,8.5,2,1,0
1329,VT,94,408,0,0,0,118.7,90,205.1,57,172.2,100,10.4,6,3,0
1330,UT,100,408,0,0,0,179.1,123,196.6,132,186.7,116,10.2,10,1,0
1331,HI,106,415,0,0,0,147.9,97,209.3,99,162.1,80,8.8,5,2,0
1332,DC,148,415,0,1,38,209.2,110,116.6,73,109.6,105,16.5,4,2,0
1333,WI,120,415,0,1,29,244.3,140,322.3,89,166.8,83,10.6,6,0,0
1334,UT,91,415,0,1,34,175.3,96,262.3,122,143.9,76,5.6,11,1,0
1335,WA,86,510,0,0,0,150.5,92,120.3,95,271.2,96,9.0,2,1,0
1336,MT,94,510,0,0,0,163.5,136,143.7,111,253.4,82,12.6,5,1,0
1337,NJ,85,415,0,0,0,236.9,93,197.7,113,309.1,78,11.4,7,2,1
1338,CT,89,415,0,0,0,82.3,77,167.2,80,194.7,70,7.2,4,1,0
1339,VA,128,415,0,0,0,216.0,111,153.7,115,227.0,74,12.7,4,1,0
1340,NC,115,415,1,0,0,180.0,119,198.8,126,217.1,70,12.4,3,1,0
1341,AK,76,415,0,0,0,143.7,55,173.1,108,239.1,95,5.8,6,1,0
1342,IL,90,415,0,1,29,185.6,106,219.7,113,152.1,120,11.1,5,2,0
1343,CT,30,408,0,0,0,137.6,108,162.0,80,187.7,126,5.8,10,3,0
1344,KS,105,415,1,0,0,273.9,119,278.6,103,255.3,90,10.9,7,1,1
1345,MA,102,415,0,1,31,125.3,92,141.2,108,168.2,68,6.3,2,3,0
1346,AR,63,510,0,1,49,214.9,86,198.2,89,170.8,139,8.2,5,0,0
1347,MS,155,408,0,0,0,163.0,93,203.9,102,159.0,109,15.1,4,2,0
1348,ND,82,415,0,1,29,163.8,77,134.9,112,79.3,95,8.8,2,2,0
1349,IN,87,510,0,0,0,189.5,113,204.9,100,221.7,93,13.4,3,1,0
1350,MI,115,415,0,1,26,155.2,110,230.9,133,261.6,100,4.5,4,0,0
1351,VT,121,415,1,1,44,254.1,127,180.2,108,196.2,129,8.7,4,3,0
1352,WV,54,510,0,1,33,112.0,90,208.0,112,150.3,83,11.3,4,2,0
1353,ME,105,408,0,0,0,115.5,73,267.3,83,114.2,90,13.3,5,3,0
1354,IA,73,415,0,0,0,137.1,102,210.8,114,191.4,120,11.1,4,1,0
1355,CT,95,415,0,0,0,198.4,113,235.9,144,325.6,99,10.1,3,0,0
1356,NM,21,415,0,1,19,132.7,94,204.6,101,154.7,78,12.9,7,3,0
1357,OR,163,408,0,1,25,219.6,99,210.4,99,242.7,88,13.8,8,2,0
1358,VT,57,415,0,0,0,169.6,96,234.7,112,285.4,83,11.2,4,0,0
1359,RI,104,408,1,0,0,160.4,73,293.9,103,306.6,90,12.6,5,4,0
1360,AL,95,415,0,0,0,194.6,114,232.8,106,173.4,92,3.8,2,3,0
1361,CT,74,408,0,0,0,157.1,95,213.1,36,280.4,77,7.6,3,2,0
1362,TN,67,415,0,0,0,179.8,125,173.2,86,272.8,97,10.9,4,0,0
1363,ID,104,415,1,0,0,148.2,108,161.8,113,259.3,103,11.0,4,0,0
1364,TX,71,415,0,1,39,183.2,103,209.4,111,172.4,109,11.9,6,1,0
1365,NH,149,415,0,0,0,119.2,88,168.3,110,204.7,119,12.2,6,4,1
1366,ND,154,408,0,1,35,224.0,102,192.0,99,163.1,100,9.6,2,0,0
1367,KS,117,415,0,0,0,184.8,83,248.6,101,133.1,113,9.6,8,1,0
1368,ME,130,408,0,0,0,176.3,140,201.0,104,161.9,123,11.3,5,1,0
1369,RI,73,415,0,0,0,241.7,115,168.5,133,169.8,122,11.1,2,2,0
1370,WI,100,510,0,1,38,224.7,121,294.0,131,290.0,61,9.8,6,0,0
1371,NC,149,510,0,0,0,207.3,115,198.4,82,114.1,83,8.6,4,1,0
1372,OH,29,408,0,0,0,196.8,81,168.0,110,132.6,98,12.7,7,2,0
1373,WY,131,510,0,0,0,110.9,74,115.6,90,190.5,114,15.8,9,1,0
1374,NJ,153,510,0,0,0,122.5,145,273.3,103,197.8,71,8.0,3,2,0
1375,WI,133,510,0,0,0,187.0,65,141.4,128,238.2,108,10.0,8,2,0
1376,KY,112,415,0,0,0,170.5,113,193.2,129,188.0,91,11.2,6,0,0
1377,NY,87,415,0,0,0,204.8,101,161.0,80,285.7,89,9.5,3,0,0
1378,AZ,66,510,0,0,0,154.0,133,198.9,121,151.9,100,9.5,3,4,1
1379,CO,74,415,0,0,0,225.2,93,215.1,120,241.8,95,9.1,2,2,0
1380,MD,116,408,0,0,0,159.4,79,179.5,88,167.8,71,9.7,2,6,1
1381,AR,68,510,0,0,0,172.7,95,139.1,90,174.3,99,11.7,1,2,0
1382,TN,68,415,0,0,0,222.8,99,175.8,85,202.0,111,11.0,3,3,0
1383,DE,54,415,1,0,0,214.1,77,240.5,94,188.9,75,10.1,3,1,0
1384,WI,107,408,0,0,0,134.0,104,174.5,94,311.1,79,7.3,3,3,0
1385,WV,124,510,0,0,0,184.8,74,175.1,84,158.2,95,10.5,6,1,0
1386,CT,95,415,0,1,36,283.1,112,286.2,86,261.7,129,11.3,3,3,0
1387,MN,173,510,0,0,0,291.8,143,214.3,134,151.2,119,9.9,2,0,1
1388,MO,110,408,0,0,0,222.7,94,105.8,98,214.8,78,13.5,4,1,0
1389,VA,102,510,0,0,0,174.5,79,236.8,136,270.4,110,8.5,5,0,0
1390,NH,130,408,0,0,0,68.4,86,193.3,110,171.5,139,10.4,4,0,0
1391,OK,91,408,0,1,31,273.0,78,215.5,98,104.7,114,9.6,2,1,0
1392,CT,64,415,1,0,0,225.3,134,108.2,87,139.6,132,17.3,9,1,1
1393,TN,176,415,0,1,23,283.2,130,162.6,74,177.7,104,7.2,6,1,0
1394,MD,93,510,1,0,0,131.4,78,219.7,106,155.7,103,11.1,2,1,1
1395,WI,84,510,0,1,12,89.7,87,138.6,73,165.8,114,10.7,2,1,0
1396,SD,138,510,0,0,0,127.1,102,247.7,106,207.7,75,5.0,3,3,0
1397,ND,101,415,0,1,28,105.9,132,231.7,107,281.3,120,10.7,5,1,0
1398,VA,136,408,0,0,0,142.3,79,158.0,113,177.5,75,6.0,11,2,0
1399,MA,132,408,0,1,36,201.9,93,156.3,75,131.3,92,13.7,5,0,0
1400,SD,128,415,0,0,0,247.3,91,182.7,60,143.2,112,14.7,2,3,0
1401,AL,92,408,0,1,38,242.2,96,159.7,144,210.0,108,8.9,1,1,0
1402,AL,197,415,1,0,0,127.3,80,222.3,115,173.9,95,13.7,5,5,1
1403,WV,191,408,0,0,0,162.0,104,241.2,120,210.4,83,10.9,7,1,0
1404,SC,99,415,0,1,33,179.1,93,238.3,102,165.7,96,10.6,1,2,0
1405,UT,78,415,0,0,0,193.1,85,172.1,105,129.6,119,10.2,1,0,0
1406,NY,98,408,0,0,0,171.7,99,174.8,87,189.6,130,7.8,6,1,0
1407,NH,56,415,0,1,24,121.7,87,184.0,76,266.6,98,12.7,3,1,0
1408,VA,84,415,0,0,0,130.2,105,278.0,60,305.4,74,14.0,6,2,0
1409,VT,95,510,0,0,0,203.4,96,168.6,61,173.0,105,13.7,3,2,0
1410,WY,16,415,0,0,0,174.7,83,280.8,122,171.7,80,10.5,8,5,0
1411,NV,76,510,1,0,0,241.0,120,231.8,96,220.2,67,9.9,1,1,1
1412,WV,93,415,0,0,0,141.7,95,221.0,100,227.1,71,10.2,3,0,0
1413,WA,83,408,0,0,0,134.8,96,167.2,78,161.5,123,7.7,5,2,0
1414,KS,123,415,0,0,0,163.1,119,249.4,51,168.2,77,9.0,10,1,0
1415,OK,82,510,0,0,0,329.8,73,208.3,120,267.1,102,10.6,6,0,1
1416,CO,110,510,0,0,0,131.9,93,272.7,106,192.8,105,7.1,4,1,0
1417,AK,96,408,0,1,29,150.0,91,159.4,75,228.1,55,8.5,3,1,0
1418,TN,47,415,0,1,30,196.6,93,241.4,140,226.0,118,12.9,4,2,0
1419,KY,115,510,0,0,0,99.7,107,145.1,96,149.4,99,14.1,4,2,0
1420,PA,69,415,0,0,0,143.6,88,141.8,86,194.0,83,10.8,5,3,0
1421,CT,163,408,0,1,40,231.9,56,211.8,91,268.5,74,12.3,3,2,0
1422,MN,98,415,0,0,0,72.8,107,186.4,103,175.3,110,10.5,4,3,0
1423,PA,174,415,0,1,15,221.8,143,210.6,115,221.8,109,12.4,9,1,0
1424,OR,95,415,0,0,0,269.0,120,233.7,120,179.3,61,7.3,4,2,1
1425,PA,79,415,0,0,0,268.3,114,185.5,111,264.6,88,6.3,7,1,1
1426,OK,123,415,0,1,27,198.7,127,249.0,105,173.2,124,12.5,5,1,0
1427,VT,99,415,0,0,0,115.5,75,218.1,111,254.9,98,11.5,7,7,1
1428,PA,141,510,0,0,0,215.6,113,200.6,81,153.8,107,12.4,6,1,0
1429,NM,132,408,0,0,0,169.9,107,209.4,121,206.1,79,11.5,2,1,0
1430,FL,133,510,0,0,0,201.7,85,169.4,116,286.3,80,6.0,4,0,0
1431,TX,133,408,0,0,0,221.1,133,160.2,140,161.8,84,8.4,3,4,0
1432,VT,93,510,0,1,32,218.7,117,115.0,61,192.7,85,9.4,5,2,0
1433,MA,34,415,0,0,0,293.7,89,272.5,71,178.2,76,11.0,10,2,1
1434,DE,96,415,0,1,26,175.8,96,206.6,84,178.0,105,11.1,2,2,0
1435,FL,144,510,0,0,0,278.5,95,240.7,90,120.0,90,11.6,5,1,1
1436,ID,24,408,0,1,29,236.3,105,190.8,114,129.0,105,7.2,2,3,0
1437,MD,54,415,0,0,0,273.8,113,119.6,156,267.6,117,11.7,3,1,0
